ACM.x[0],ACM.x[1],ACM.x[2],ACM.x[3],ACM.Tem,CTRL.uMs_cmd,CTRL.uTs_cmd,CTRL.iMs_cmd,CTRL.iMs,CTRL.iTs_cmd,CTRL.iTs,ob.psi_mu_al,ob.tajima.omg*RAD_PER_SEC_2_RPM,ACM.rpm
0.984726,0,0.0879312,0,0,4.34494,0,1.11557,0.984349,-0,0,0.09997,-12.9156,0
0.986597,0,0.089595,0,0,4.34729,0,1.11557,0.986225,-0,0,0.101657,-12.8836,0
0.988445,0,0.091255,0,0,4.34956,0,1.11557,0.988078,-0,0,0.103339,-12.8514,0
0.990271,0,0.092911,0,0,4.35173,0,1.11557,0.989908,-0,0,0.105018,-12.8191,0
0.992074,0,0.094563,0,0,4.35381,0,1.11557,0.991715,-0,0,0.106692,-12.7865,0
0.993855,0,0.0962111,0,0,4.35581,0,1.11557,0.993501,-0,0,0.108361,-12.7537,0
0.995614,0,0.0978551,0,0,4.35772,0,1.11557,0.995264,-0,0,0.110027,-12.7208,0
0.997352,0,0.0994951,0,0,4.35954,0,1.11557,0.997006,-0,0,0.111688,-12.6876,0
0.999068,0,0.101131,0,0,4.36129,0,1.11557,0.998726,-0,0,0.113345,-12.6543,0
1.00076,0,0.102763,0,0,4.36295,0,1.11557,1.00043,-0,0,0.114998,-12.6209,0
1.00244,0,0.104391,0,0,4.36453,0,1.11557,1.0021,-0,0,0.116646,-12.5872,0
1.00409,0,0.106014,0,0,4.36602,0,1.11557,1.00376,-0,0,0.11829,-12.5534,0
1.00572,0,0.107633,0,0,4.36745,0,1.11557,1.0054,-0,0,0.119929,-12.5195,0
1.00734,0,0.109249,0,0,4.36879,0,1.11557,1.00701,-0,0,0.121564,-12.4854,0
1.00893,0,0.11086,0,0,4.37006,0,1.11557,1.00861,-0,0,0.123194,-12.4511,0
1.0105,0,0.112466,0,0,4.37125,0,1.11557,1.01019,-0,0,0.12482,-12.4167,0
1.01206,0,0.114069,0,0,4.37237,0,1.11557,1.01175,-0,0,0.126442,-12.3822,0
1.01359,0,0.115667,0,0,4.37341,0,1.11557,1.01328,-0,0,0.128059,-12.3475,0
1.0151,0,0.117261,0,0,4.37438,0,1.11557,1.0148,-0,0,0.129671,-12.3127,0
1.0166,0,0.11885,0,0,4.37529,0,1.11557,1.0163,-0,0,0.131279,-12.2778,0
1.01808,0,0.120436,0,0,4.37612,0,1.11557,1.01779,-0,0,0.132882,-12.2427,0
1.01954,0,0.122017,0,0,4.37689,0,1.11557,1.01925,-0,0,0.134481,-12.2076,0
1.02098,0,0.123593,0,0,4.37758,0,1.11557,1.02069,-0,0,0.136075,-12.1723,0
1.0224,0,0.125165,0,0,4.37822,0,1.11557,1.02212,-0,0,0.137664,-12.1369,0
1.02381,0,0.126733,0,0,4.37878,0,1.11557,1.02353,-0,0,0.139249,-12.1014,0
1.0252,0,0.128296,0,0,4.37928,0,1.11557,1.02492,-0,0,0.140829,-12.0658,0
1.02657,0,0.129855,0,0,4.37972,0,1.11557,1.0263,-0,0,0.142405,-12.0301,0
1.02792,0,0.131409,0,0,4.3801,0,1.11557,1.02765,-0,0,0.143976,-11.9943,0
1.02926,0,0.132959,0,0,4.38042,0,1.11557,1.02899,-0,0,0.145542,-11.9584,0
1.03058,0,0.134504,0,0,4.38067,0,1.11557,1.03032,-0,0,0.147104,-11.9224,0
1.03188,0,0.136045,0,0,4.38087,0,1.11557,1.03162,-0,0,0.14866,-11.8863,0
1.03317,0,0.137582,0,0,4.381,0,1.11557,1.03291,-0,0,0.150213,-11.8502,0
